time,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,temperature,label
1741003041.7441936,9.076419,0.490811,2.422932,0.104187,-0.497485,-0.031176,36.11824,lying
1741003041.8421168,8.499416,0.543484,1.934515,0.152683,-0.741299,-0.042368,36.10353,lying
1741003041.9070802,8.166622,0.572214,1.01993,0.195051,-0.991773,-0.073011,36.12118,lying
1741003041.9680448,8.681376,0.433351,0.912191,0.304567,-1.146322,-0.1311,36.11235,lying
1741003042.0300734,6.710948,0.201113,-0.402226,0.41808,-1.394132,-0.231023,36.10941,lying
1741003042.0953546,8.061277,1.089362,-2.169147,0.462845,-1.455152,-0.072744,36.12706,lying
1741003042.1518393,8.015787,0.40462,-2.334347,0.416747,-1.433302,-0.002931,36.12412,lying
1741003042.2056813,7.036559,0.3304,-3.653552,0.405289,-1.384273,0.07008,36.11235,lying
1741003042.2636776,7.888895,1.01993,-4.328717,0.291243,-1.349899,0.297905,36.11824,lying
1741003042.3356168,8.305486,0.577003,-5.183447,0.090331,-1.325118,0.20864,36.10647,lying
1741003042.4030259,9.76116,0.344765,-6.943185,0.061819,-0.978717,0.315225,36.1153,lying
1741003042.4847574,9.842564,0.960075,-8.255207,-0.199314,-0.580089,0.345602,36.13882,lying
1741003042.561058,11.24078,1.077391,-8.645462,-0.03011,-0.286447,0.607268,36.1153,lying
1741003042.61462,10.54885,-0.395043,-7.881712,-0.112447,0.427139,0.502282,36.1153,lying
1741003042.6964543,10.22324,1.647211,-7.814674,-0.296839,0.622456,0.695201,36.11824,lying
1741003042.7620747,10.46984,-1.18513,-6.876147,0.162009,0.933951,0.467109,36.1153,lying
1741003042.8260386,11.50414,-1.25935,-6.572083,0.298438,1.577991,0.644573,36.11824,lying
1741003042.9073825,9.449914,-0.976834,-5.796362,-0.04823,1.662726,0.263531,36.10059,lying
1741003042.961798,12.63181,-3.497929,-3.143587,-0.141225,1.659528,-0.753556,36.11235,lying
1741003043.0212507,10.79785,-2.070984,-1.300052,-0.031975,2.294508,-0.575559,36.10353,lying
1741003043.1130116,8.049306,-1.316811,0.998382,0.080472,1.626753,0.035173,36.10941,lying
1741003043.2050943,11.14261,-2.652776,1.61848,0.226227,0.904374,0.49642,36.09765,lying
1741003043.2937548,7.532158,-1.268927,1.472434,0.340273,1.116478,0.41275,36.10647,lying
1741003043.365714,9.883265,-2.724602,3.050213,0.179862,1.085035,0.094594,36.10647,lying
1741003043.4226818,9.093178,-2.461239,3.46441,-0.071145,1.462879,-0.287513,36.1153,lying
1741003043.5136304,8.470686,-1.678335,4.932055,-0.344003,1.690171,-0.367985,36.10059,lying
1741003043.601834,6.390124,-2.149993,6.196194,-0.53559,1.697366,-0.255271,36.10059,lying
1741003043.7114232,5.60722,-1.719037,6.895301,-0.7397,1.430904,-0.212104,36.09471,lying
1741003043.8051777,5.092467,-1.786075,7.460332,-0.808714,1.434368,-0.098858,36.1153,lying
1741003043.8732946,5.307945,-4.884171,9.490616,-0.292576,1.48766,-0.215835,36.10059,lying
1741003043.9316454,2.552219,-2.734178,8.291121,0.059688,1.655798,-0.078606,36.09471,lying
1741003043.984948,1.369483,-2.377442,9.208099,0.212371,1.938248,0.201446,36.10353,lying
1741003044.0406632,-0.311246,-2.875436,10.37886,0.320554,1.815409,0.30057,36.11235,lying
1741003044.0966315,-0.828394,-3.392584,9.758766,0.476701,1.715485,0.290178,36.11824,lying
1741003044.1506033,-2.743755,-1.66397,9.763555,0.298704,1.658463,0.065283,36.10059,lying
1741003044.225558,-3.529053,-1.683124,11.1091,0.229957,1.392799,0.27792,36.10353,lying
1741003044.306512,-3.687071,-1.592144,8.839393,0.377311,0.977651,0.476701,36.09765,lying
1741003044.370475,-3.210624,-0.560243,8.947132,0.033841,0.406089,0.159345,36.09177,lying
1741003044.4297082,-3.701436,-1.173159,9.184157,0.086334,0.209706,-0.017054,36.10059,lying
1741003044.5092123,-2.801216,-0.890643,8.848969,0.142025,0.013057,-0.166539,36.10353,lying
1741003044.6005468,-3.177106,-1.058237,8.832211,0.212904,0.211838,-0.050628,36.08588,lying

1741003182.0715048,9.437943,-0.225055,1.082179,0.055158,-0.672818,-0.173467,36.00647,lying
1741003182.129851,7.651869,-0.272939,0.529119,0.086334,-0.784998,-0.12124,36.01529,lying
1741003182.186622,8.111555,0.708684,0.529119,0.011724,-1.09223,-0.203311,35.99765,lying
1741003182.2452362,8.42759,0.833182,-0.521936,-0.086067,-1.389069,-0.186257,36.00059,lying
1741003182.3002946,8.394072,0.766145,-1.381454,-0.073544,-1.416248,-0.244346,35.99176,lying
1741003182.3537276,7.536947,0.545878,-1.862689,-0.027979,-1.302735,-0.093795,35.99765,lying
1741003182.4078069,6.727707,0.727837,-2.861071,-0.029577,-1.256371,-0.123639,36.01529,lying
1741003182.4767687,6.818686,0.756568,-3.272874,-0.145222,-1.345369,-0.09193,36.02118,lying
1741003182.5357342,7.026982,0.782904,-5.324705,-0.283516,-1.333112,-0.200913,36.00647,lying
1741003182.5938327,9.275137,1.51553,-5.21936,-0.424741,-1.124205,-0.318156,36.00941,lying
1741003182.6562152,10.22324,1.599327,-6.356606,-0.552377,-0.637112,-0.412484,35.99765,lying
1741003182.7161796,10.18493,2.037466,-7.548918,-0.502548,-0.205976,-0.20864,36.01823,lying
1741003182.7781436,11.43471,3.682282,-6.600814,-0.562502,-0.050095,-0.263798,36.00647,lying
1741003182.8441079,10.62786,2.944868,-7.273585,-0.620858,0.38717,0.071678,35.99176,lying
1741003182.9563587,10.54885,1.812411,-6.521805,-0.501749,0.622723,-0.150285,36.00059,lying
1741003183.0183241,10.6135,0.306458,-2.269703,0.287779,1.32192,0.514805,36.00647,lying
1741003183.0822873,11.26711,5.93762,-6.234501,0.027179,1.014423,-0.423409,36.00353,lying
1741003183.1507552,10.11311,4.580108,-4.589684,-0.082337,1.227326,0.831629,35.98,lying
1741003183.2210581,8.628703,1.386243,-2.341529,-0.10845,1.412784,0.662159,35.99765,lying
1741003183.2770875,9.148245,2.221819,-1.280898,0.289645,1.285415,0.999767,36.00941,lying
1741003183.3650372,12.93108,-1.254562,2.63841,-0.235553,0.483896,1.635813,35.98294,lying
1741003183.444992,12.11705,-1.125275,-0.186748,0.532925,1.100757,0.667222,35.99765,lying
1741003183.5139515,7.101202,-0.186748,1.142034,0.740766,1.527363,0.644306,35.99765,lying
1741003183.589908,12.31338,-1.628057,3.174711,0.70879,1.210539,0.461513,35.97412,lying
1741003183.6628666,8.523358,0,3.792415,0.688806,1.621158,0.053292,35.97412,lying
1741003183.7168362,7.055712,-1.187524,4.400543,0.191853,1.532959,0.420478,35.98588,lying
1741003183.7807987,7.61835,-1.225831,5.334281,-0.231822,1.378677,0.292842,35.98294,lying
1741003183.8477638,7.429208,-1.316811,5.686229,-0.381841,1.340306,0.237685,35.99176,lying
1741003183.9315352,6.303933,-2.027889,6.354211,-0.29151,1.352031,0.327749,35.98294,lying
1741003183.989874,5.554548,-2.698265,6.794744,-0.188655,1.543617,0.296306,35.98294,lying
1741003184.0580497,4.939238,-2.27928,6.785168,-0.066882,1.813277,0.090864,35.98588,lying
1741003184.132006,4.271256,-2.667141,7.055712,0.06102,2.214037,0.053559,35.98588,lying
1741003184.1912339,2.686294,-2.70066,11.70046,0.129767,2.262533,0.35173,35.98588,lying
1741003184.2763147,-1.316811,-3.0143,10.96544,0.054891,1.719749,0.830031,35.99176,lying
1741003184.334281,-2.207454,-1.891419,10.45069,0.324818,1.566,0.548113,36.00647,lying
1741003184.4167414,-3.761291,-2.059013,10.75236,0.739167,1.209207,0.325884,35.99176,lying
1741003184.5466049,-3.315969,-0.845153,9.31105,0.536922,0.757819,0.05276,36.00059,lying
1741003184.6385489,-3.708618,0.732626,9.509769,0.167072,0.541985,0.086867,35.98588,lying
1741003184.7084353,-3.722984,0.043096,9.081207,0.046897,0.192119,-0.173734,35.98588,lying
1741003184.774781,-3.239355,-0.536301,8.171411,0.181994,0.121773,-0.185991,35.98294,lying
1741003184.8607318,-4.486734,-0.778116,8.789114,0.130567,-0.096193,0.272058,35.99176,lying

1741003295.4235795,7.026982,-0.237026,0.148441,0.080205,-1.068781,-0.054358,35.82117,lying
1741003295.4782932,6.359,0.459687,-0.859518,-0.00373,-1.264364,-0.237685,35.84471,lying
1741003295.5506656,7.838616,0.21069,-1.778892,-0.171335,-1.297139,-0.151084,35.81235,lying
1741003295.6119466,8.702923,0.500388,-3.371036,-0.258735,-1.411718,-0.298704,35.83588,lying
1741003295.6686203,8.772355,0.933739,-2.829947,-0.375712,-1.145256,-0.268061,35.83588,lying
1741003295.727074,8.884883,0.68953,-5.233725,-0.736236,-1.261167,-0.262466,35.83,lying
1741003295.781936,11.28387,3.193865,-5.453991,-0.766879,-0.727709,-0.237152,35.83294,lying
1741003295.8395505,11.77468,1.577779,-5.109226,-0.64857,0.198515,-0.706925,35.84765,lying
1741003295.9021344,11.89918,3.169923,-8.030152,-0.671219,-0.203577,-0.453253,35.84177,lying
1741003295.9590538,11.65497,2.614468,-3.581726,-0.87373,0.952337,-0.365054,35.83588,lying
